timestamp,open,high,low,close,volume
2019-11-08,143.9800,145.9900,143.7600,145.9600,16225971
2019-11-07,143.8400,144.8800,143.7700,144.2600,17770700
2019-11-06,144.3700,144.5200,143.2000,144.0600,16572300
2019-11-05,144.9700,145.0200,143.9100,144.4600,18221500
2019-11-04,144.8300,145.0000,144.1600,144.5500,16858600
2019-11-01,144.2600,144.4200,142.9700,143.7200,33119200
2019-10-31,144.9000,144.9300,142.9900,143.3700,24596200
2019-10-30,143.5200,145.0000,142.7900,144.6100,18471700
2019-10-29,144.0800,144.5000,142.6500,142.8300,20519700
2019-10-28,144.4000,145.6700,143.5100,144.1900,35280100
2019-10-25,139.3400,141.1400,139.2000,140.7300,25274600
2019-10-24,139.3900,140.4200,138.6700,139.9400,37029300
2019-10-23,136.8800,137.4500,135.6100,137.2400,29844600
2019-10-22,138.9700,140.0100,136.2600,136.3700,27431000
2019-10-21,138.4500,138.5000,137.0100,138.4300,20078200
2019-10-18,139.7600,140.0000,136.5600,137.4100,32273500
2019-10-17,140.9500,141.4200,139.0200,139.6900,21460600
2019-10-16,140.7900,140.9900,139.5300,140.4100,20751600
2019-10-15,140.0600,141.7900,139.8100,141.5700,19695700
2019-10-14,139.6900,140.2900,139.5200,139.5500,13304300
2019-10-11,140.1200,141.0300,139.5000,139.6800,25446000
2019-10-10,138.4900,139.6700,138.2500,139.1000,17654600
2019-10-09,137.4600,138.7000,136.9700,138.2400,19749900
2019-10-08,137.0800,137.7600,135.6200,135.6700,25550500
2019-10-07,137.1400,138.1800,137.0200,137.1200,15303700
2019-10-04,136.7500,138.2500,136.4200,138.1200,22897700
2019-10-03,134.9500,136.7500,133.2200,136.2800,24132900
2019-10-02,136.2500,136.3700,133.5800,134.6500,30521700
2019-10-01,139.6600,140.2500,137.0000,137.0700,21466600
2019-09-30,138.0500,139.2200,137.7800,139.0300,17280900
2019-09-27,140.1500,140.3600,136.6500,137.7300,22477700
2019-09-26,139.4400,140.1800,138.4400,139.5400,17456600
2019-09-25,137.5000,139.9600,136.0300,139.3600,21382000
2019-09-24,140.3600,140.6900,136.8800,137.3800,29773200
2019-09-23,139.2300,139.6300,138.4400,139.1400,17139300
2019-09-20,141.0100,141.6500,138.2500,139.4400,39167300
2019-09-19,140.3000,142.3700,140.0700,141.0700,35772100
2019-09-18,137.3600,138.6700,136.5300,138.5200,23982100
2019-09-17,136.9600,137.5200,136.4300,137.3900,17814200
2019-09-16,135.8300,136.7000,135.6600,136.3300,16731400
2019-09-13,137.7800,138.0600,136.5700,137.3200,23363100
2019-09-12,137.8500,138.4200,136.8700,137.5200,27010000
2019-09-11,135.9100,136.2700,135.0900,136.1200,24726100
2019-09-10,136.8000,136.8900,134.5100,136.0800,28903400
2019-09-09,139.5900,139.7500,136.4600,137.5200,25773900
2019-09-06,140.0300,140.1800,138.2000,139.1000,20824500
2019-09-05,139.1100,140.3800,138.7600,140.0500,26101800
2019-09-04,137.3000,137.6900,136.4800,137.6300,17995900
2019-09-03,136.6100,137.2000,135.7000,136.0400,18869300
2019-08-30,139.1500,139.1800,136.2700,137.8600,23940100
2019-08-29,137.2500,138.4400,136.9100,138.1200,20168700
2019-08-28,134.8800,135.7600,133.5500,135.5600,17393300
2019-08-27,136.3900,136.7200,134.6600,135.7400,23102100
2019-08-26,134.9900,135.5600,133.9000,135.4500,20312600
2019-08-23,137.1900,138.3500,132.8000,133.3900,38508600
2019-08-22,138.6600,139.2000,136.2900,137.7800,18697000
2019-08-21,138.5500,139.4900,138.0000,138.7900,14970300
2019-08-20,138.2100,138.7100,137.2400,137.2600,21170800
2019-08-19,137.8500,138.5500,136.8900,138.4100,24355700
2019-08-16,134.8800,136.4600,134.7200,136.1300,24449100
2019-08-15,134.3900,134.5800,132.2500,133.6800,28074400
2019-08-14,136.3600,136.9200,133.6700,133.9800,32527300
2019-08-13,136.0500,138.8000,135.0000,138.6000,25154600
2019-08-12,137.0700,137.8600,135.2400,135.7900,20484300
